"","From","To","From_Team","To_Team","channel","timestamp","type"
"90","U02H9L293M4","U02JBG5JMK7","Organizing Team","C1: Andapé Institute","ask_team_o17","1635275069.004800","mention"
"92","U02H9L293M4","U02JBG5JMK7","Organizing Team","C1: Andapé Institute","0_team_info","1635804182.011100","mention"
"94","U02H9L293M4","U02JD97KY4V","Organizing Team","A1: Up Get App/CitiCERN","0_team_info","1635804182.011100","mention"
"95","U02HZQN7B1V","U02JD97KY4V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","random","1636145214.004000","mention"
"97","U02JTSE3ESV","U02JDPHMGLE","A5: Donate Water Project","A5: Donate Water Project","team-donate-water-project","1635529478.001600","mention"
"98","U02H9L293M4","U02JDPHMGLE","Organizing Team","A5: Donate Water Project","0_announcements_read_only","1635181908.012400","mention"
"99","U02JEFQUSBC","U02JDPHMGLE","A5: Donate Water Project","A5: Donate Water Project","team-donate-water-project","1636147797.000900","mention"
"100","U02H9L293M4","U02JDPHMGLE","Organizing Team","A5: Donate Water Project","0_team_info","1635804182.011100","mention"
"104","U02H9L293M4","U02JE4S73U2","Organizing Team","Tool Owner","0_announcements_read_only","1636971397.012500","mention"
"105","U02H9L293M4","U02JE4S73U2","Organizing Team","Tool Owner","cslogger-csprojectbuilder-troubleshoot","1635339275.000800","mention"
"106","U02H9L293M4","U02JE4S73U2","Organizing Team","Tool Owner","0_announcements_read_only","1636649417.009300","mention"
"107","U02H9L293M4","U02JEFAPYN6","Organizing Team","B3: Eco Winners","0_team_info","1635804182.011100","mention"
"108","U02H9L293M4","U02JEFGAJRG","Organizing Team","B5: Rights of Climate","0_team_info","1635804182.011100","mention"
"109","U02H9L293M4","U02JEFGAJRG","Organizing Team","B5: Rights of Climate","general","1634896342.003800","mention"
"110","U02HZQN7B1V","U02JEFGAJRG","A1: Up Get App/CitiCERN","B5: Rights of Climate","general","1636127583.002700","mention"
"111","U02H9L293M4","U02JEFK42PL","Organizing Team","C2: PAM","0_team_info","1635804182.011100","mention"
"113","U02HGCBP98S","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","general","1636640050.002900","mention"
"118","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","crowd4sdg-project","1634809475.001700","mention"
"119","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","ask_team_o17","1635518176.000900","mention"
"120","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","0_announcements_read_only","1636964594.012000","mention"
"121","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","inprogress-troubleshoot","1634811230.003200","mention"
"122","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","0_announcements_read_only","1635336728.008600","mention"
"128","U02JTSE3ESV","U02JEFQUSBC","A5: Donate Water Project","A5: Donate Water Project","team-donate-water-project","1636958038.000300","mention"
"134","U02H9L293M4","U02JEFQUSBC","Organizing Team","A5: Donate Water Project","0_team_info","1635804182.011100","mention"
"135","U02H9L293M4","U02JEFS7QJE","Organizing Team","C2: PAM","0_team_info","1635804182.011100","mention"
"136","U02H9L293M4","U02JEGP6DK5","Organizing Team","Tool Owner","0_announcements_read_only","1636649417.009300","mention"
"137","U02H9L293M4","U02JEGV9C9Z","Organizing Team","A3: Rhythm of Bamboos","0_team_info","1635804182.011100","mention"
"138","U02H9L293M4","U02JGMKJ7PW","Organizing Team","B1: Water Warriors","0_team_info","1635804182.011100","mention"
"139","U02H9L293M4","U02JGMUJ5KN","Organizing Team","C1: Andapé Institute","0_team_info","1635804182.011100","mention"
"142","U02H9L293M4","U02JGN48MS8","Organizing Team","A4: Flood Rangers","0_team_info","1635804182.011100","mention"
"143","U02H9L293M4","U02JGN48MS8","Organizing Team","A4: Flood Rangers","ask_team_o17","1634806285.002000","mention"
